category,language,source_url,local_path,size_bytes
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1998006_BI/WJW240100 BI.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\WJW240100 BI.pdf",373446
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1946988_BI/WJW231341 BI.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\WJW231341 BI.pdf",905417
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1946988_BM/WJW231341 BM.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\WJW231341 BM.pdf",865772
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1946989_BI/WJW231340 BI.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\WJW231340 BI.pdf",598494
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1946989_BM/WJW231340 BM.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\WJW231340 BM.pdf",589084
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1869311_BI/Act 849 The Titular Superior of The Brothers Of Saint Gabriel (Incorporation) Act 1957 (BI).pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 849 The Titular Superior of The Brothers Of Saint Gabriel (Incorporation) Act 1957 (BI).pdf",222451
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1869311_BM/Akta 849 BM cover depan.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 849 BM cover depan.pdf",155174
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1841200_BI/Act 848.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 848.pdf",172274
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1841200_BM/Akta 848.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 848.pdf",168747
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1826844_BM/WJW230560 BM.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\WJW230560 BM.pdf",219246
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1826844_BI/WJW230560 BI.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\WJW230560 BI.pdf",239269
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1826840_BI/Akta 846 BI.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Akta 846 BI.pdf",279386
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1826840_BM/Akta 846 BM.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 846 BM.pdf",265090
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1822437_BM/Akta 845.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 845.pdf",255355
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1822437_BI/Act 845.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 845.pdf",271128
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1813992_BM/Akta 844 COVER BM.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 844 COVER BM.pdf",154079
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1813992_BI/Act 844 Muktamad.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 844 Muktamad.pdf",287234
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1785296_BI/Act 843 warta 2023.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 843 warta 2023.pdf",251943
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1785296_BM/04. Akta 843 BM cover depan.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\04. Akta 843 BM cover depan.pdf",154079
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3435539_BI/Act 880 - CAPITATION GRANT ACT 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 880 - CAPITATION GRANT ACT 2026.pdf",199560
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3435539_BM/Akta 880 - AKTA PEMBERIAN MENGIKUT BILANGAN ORANG 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 880 - AKTA PEMBERIAN MENGIKUT BILANGAN ORANG 2026.pdf",201293
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3424868_BI/Act 879 BI.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 879 BI.pdf",361199
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3424868_BM/Akta 879 BM cover depan.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 879 BM cover depan.pdf",195169
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3356869_BI/Act 878-LEGAL AID AND PUBLIC DEFENCE ACT 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 878-LEGAL AID AND PUBLIC DEFENCE ACT 2026.pdf",528615
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3356869_BM/Akta 878 - AKTA BANTUAN GUAMAN DAN PEMBELAAN AWAM 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 878 - AKTA BANTUAN GUAMAN DAN PEMBELAAN AWAM 2026.pdf",451803
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3340871_BI/Act 877.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 877.pdf",350005
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3340871_BM/Akta 877.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 877.pdf",349417
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3307125_BM/Akta 876 BM.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 876 BM.pdf",379864
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3307125_BI/Act 876 BI.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 876 BI.pdf",374803
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3276538_BI/Act 875 - MEASURES FOR THE COLLECTION, ADMINISTRATION AND ENFORCEMENT OF TAX ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 875 - MEASURES FOR THE COLLECTION, ADMINISTRATION AND ENFORCEMENT OF TAX ACT 2025.pdf",389661
